Secret Name,Type,Location,Current Status,Severity,Exposure,Rotation Required,Rotation Date,Notes
MONGOLAB_API_KEY,API Key,poem.rb:17,EXPOSED,CRITICAL,Public (source code),YES,IMMEDIATE,Hardcoded in base_url method
MONGOLAB_API_KEY,API Key,poem.rb:56,EXPOSED,CRITICAL,Public (source code),YES,IMMEDIATE,Hardcoded in get_json_rest method
MONGOLAB_API_KEY,API Key,public/js/app.js:33,EXPOSED,CRITICAL,Public (client-side),YES,IMMEDIATE,Exposed in MONGOLAB_CONFIG constant
MongoDB User Password,Password,db.yaml,NOT_IN_REPO,HIGH,Excluded via .gitignore,NO,N/A,Referenced in poem.rb:25 but not committed
RACK_ENV,Config,ENV,NOT_SET,LOW,N/A,NO,N/A,Should be set in deployment environment
PORT,Config,ENV,NOT_SET,LOW,N/A,NO,N/A,Should be set in deployment environment
MONGODB_URI,Connection String,ENV,NOT_YET_USED,MEDIUM,N/A,NO,N/A,For future MongoDB Atlas migration
REDIS_URL,Connection String,ENV,NOT_YET_USED,MEDIUM,N/A,NO,N/A,For future caching layer
JWT_SECRET,Secret Key,ENV,NOT_YET_USED,HIGH,N/A,NO,N/A,For future authentication system
SESSION_SECRET,Secret Key,ENV,NOT_YET_USED,HIGH,N/A,NO,N/A,For future session management
ALLOWED_ORIGINS,Config,ENV,NOT_YET_USED,LOW,N/A,NO,N/A,For future CORS configuration
LOG_LEVEL,Config,ENV,NOT_YET_USED,LOW,N/A,NO,N/A,For future logging configuration
SENTRY_DSN,API Key,ENV,NOT_YET_USED,LOW,N/A,NO,N/A,For future error tracking
